"","eventid","iyear","imonth","iday","approxdate","extended","resolution","country","country_txt","region","region_txt","provstate","city","latitude","longitude","specificity","vicinity","location","summary","crit1","crit2","crit3","doubtterr","alternative","alternative_txt","multiple","success","suicide","attacktype1","attacktype1_txt","attacktype2","attacktype2_txt","attacktype3","attacktype3_txt","targtype1","targtype1_txt","targsubtype1","targsubtype1_txt","corp1","target1","natlty1","natlty1_txt","targtype2","targtype2_txt","targsubtype2","targsubtype2_txt","corp2","target2","natlty2","natlty2_txt","targtype3","targtype3_txt","targsubtype3","targsubtype3_txt","corp3","target3","natlty3","natlty3_txt","gname","gsubname","gname2","gsubname2","gname3","gsubname3","motive","guncertain1","guncertain2","guncertain3","individual","nperps","nperpcap","claimed","claimmode","claimmode_txt","claim2","claimmode2","claimmode2_txt","claim3","claimmode3","claimmode3_txt","compclaim","weaptype1","weaptype1_txt","weapsubtype1","weapsubtype1_txt","weaptype2","weaptype2_txt","weapsubtype2","weapsubtype2_txt","weaptype3","weaptype3_txt","weapsubtype3","weapsubtype3_txt","weaptype4","weaptype4_txt","weapsubtype4","weapsubtype4_txt","weapdetail","nkill","nkillus","nkillter","nwound","nwoundus","nwoundte","property","propextent","propextent_txt","propvalue","propcomment","ishostkid","nhostkid","nhostkidus","nhours","ndays","divert","kidhijcountry","ransom","ransomamt","ransomamtus","ransompaid","ransompaidus","ransomnote","hostkidoutcome","hostkidoutcome_txt","nreleased","addnotes","scite1","scite2","scite3","dbsource","INT_LOG","INT_IDEO","INT_MISC","INT_ANY","related"
"49399",199112160015,1991,12,16,NA,0,NA,12,"Armenia",7,"Central Asia",NA,"Meghri",38.902222,46.238333,3,0,NA,NA,1,1,1,-9,NA,NA,0,1,0,4,"Hijacking",NA,NA,NA,NA,19,"Transportation",100,"Train/Train Tracks/Trolley","Railway","Train",359,"Soviet Union",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armenian Guerrillas",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Firearms",2,"Automatic Weapon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Automatic firearm",0,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,70,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",0,1,1,1,NA
"50369",199203090007,1992,3,9,NA,0,NA,12,"Armenia",7,"Central Asia",NA,"Artik",40.617222,43.975833,1,0,NA,NA,1,1,0,1,1,"Insurgency/Guerilla Action",0,1,0,2,"Armed Assault",NA,NA,NA,NA,4,"Military",27,"Military Barracks/Base/Headquarters/Checkpost","Commonwealth of Independent States Military","Missile Base",351,"Commonwealth of Independent States",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armenian militants",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Firearms",2,"Automatic Weapon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Automatic firearm",2,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,10,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",0,1,1,1,NA
"51980",199207060012,1992,7,6,NA,0,NA,12,"Armenia",7,"Central Asia",NA,"Gyumri",40.789444,43.8475,1,0,NA,NA,1,1,0,1,1,"Insurgency/Guerilla Action",0,1,0,2,"Armed Assault",NA,NA,NA,NA,4,"Military",27,"Military Barracks/Base/Headquarters/Checkpost","Russian Army","Post",167,"Russia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"Melee",23,"Knife or Other Sharp Object",5,"Firearms",3,"Handgun",NA,NA,NA,NA,NA,NA,NA,NA,"Knife; Pistol",0,NA,NA,1,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,1,1,NA
"55884",199404150002,1994,4,15,NA,0,NA,12,"Armenia",7,"Central Asia",NA,"Yerevan",40.183333,44.516667,1,0,NA,NA,1,1,1,0,NA,NA,0,1,0,1,"Assassination",NA,NA,NA,NA,2,"Government (General)",18,"Government Personnel (excluding police, military)","Government","Parliament Member Vazdges Petrosyan",12,"Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Firearms",3,"Handgun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pistol",1,0,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,0,-9,NA
"56131",199405070009,1994,5,7,NA,0,NA,12,"Armenia",7,"Central Asia",NA,"Yerevan",40.183333,44.516667,1,0,NA,NA,1,1,1,-9,NA,NA,0,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,14,"Private Citizens & Property",73,"Vehicles/Transportation","International Armenian Assoc.","Apartment, President Serzh Dzhiloyan",12,"Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Explosive",0,0,NA,0,0,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,0,-9,NA
"56357",199405270006,1994,5,27,NA,0,NA,12,"Armenia",7,"Central Asia",NA,"Yerevan",40.183333,44.516667,1,0,NA,NA,1,1,1,-9,NA,NA,0,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,1,"Business",11,"Entertainment/Cultural/Stadium/Casino","Sidon Travel","Office",999,"Multinational",20,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Explosive",0,0,NA,0,0,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,1,1,NA
"57119",199409040004,1994,9,4,NA,0,NA,12,"Armenia",7,"Central Asia",NA,"Bagratashen",41.245833,44.821111,1,0,NA,NA,1,1,1,0,NA,NA,0,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,14,"Private Citizens & Property",74,"Marketplace/Plaza/Square","Unknown","Crowded marketplace",12,"Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Explosive",14,0,NA,46,0,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,0,-9,NA
"59814",199507210009,1995,7,21,NA,0,NA,12,"Armenia",7,"Central Asia",NA,"Bagratashen",41.245833,44.821111,1,0,NA,NA,1,1,1,0,NA,NA,0,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,14,"Private Citizens & Property",74,"Marketplace/Plaza/Square","Unk","Market Place",12,"Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Explosive",2,NA,NA,20,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,0,-9,NA
"63113",199608240005,1996,8,24,NA,0,NA,12,"Armenia",7,"Central Asia",NA,"Yerevan",40.183333,44.516667,1,0,NA,NA,1,1,1,-9,NA,NA,0,1,0,1,"Assassination",NA,NA,NA,NA,1,"Business",NA,NA,NA,"two iranian business",94,"Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Firearms",5,"Unknown Gun Type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Small caliber",2,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,1,1,NA
"67904",199807250003,1998,7,25,NA,0,NA,12,"Armenia",7,"Central Asia","Yerevan (Special Administrative Region)","Kanaker-Zeytun",40.22,44.538333,1,0,NA,"07/25/1998: A grenade went off in the Zeitun market in Yerevan, Armenia, injuring one woman. The grenade linchpin was attached to a rope that the woman accidentally touched. It was not known who placed the grenade in the market.",1,1,1,0,NA,NA,1,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,14,"Private Citizens & Property",74,"Marketplace/Plaza/Square",NA,"Zeitun market in Yerevan",12,"Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,"Unknown",0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",7,"Grenade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tigran Liloyan, “Booby-Trapped Grenades Found in Yerevan Market; 1 Injured,” ITAR-TASS, July 25, 1998.","“Grenade explodes in Armenian capital; woman injured,” Associated Press Worldstream, July 25, 1998.",NA,"CETIS",-9,-9,0,-9,"199807250003, 199807250004"
