"","eventid","iyear","imonth","iday","approxdate","extended","resolution","country","country_txt","region","region_txt","provstate","city","latitude","longitude","specificity","vicinity","location","summary","crit1","crit2","crit3","doubtterr","alternative","alternative_txt","multiple","success","suicide","attacktype1","attacktype1_txt","attacktype2","attacktype2_txt","attacktype3","attacktype3_txt","targtype1","targtype1_txt","targsubtype1","targsubtype1_txt","corp1","target1","natlty1","natlty1_txt","targtype2","targtype2_txt","targsubtype2","targsubtype2_txt","corp2","target2","natlty2","natlty2_txt","targtype3","targtype3_txt","targsubtype3","targsubtype3_txt","corp3","target3","natlty3","natlty3_txt","gname","gsubname","gname2","gsubname2","gname3","gsubname3","motive","guncertain1","guncertain2","guncertain3","individual","nperps","nperpcap","claimed","claimmode","claimmode_txt","claim2","claimmode2","claimmode2_txt","claim3","claimmode3","claimmode3_txt","compclaim","weaptype1","weaptype1_txt","weapsubtype1","weapsubtype1_txt","weaptype2","weaptype2_txt","weapsubtype2","weapsubtype2_txt","weaptype3","weaptype3_txt","weapsubtype3","weapsubtype3_txt","weaptype4","weaptype4_txt","weapsubtype4","weapsubtype4_txt","weapdetail","nkill","nkillus","nkillter","nwound","nwoundus","nwoundte","property","propextent","propextent_txt","propvalue","propcomment","ishostkid","nhostkid","nhostkidus","nhours","ndays","divert","kidhijcountry","ransom","ransomamt","ransomamtus","ransompaid","ransompaidus","ransomnote","hostkidoutcome","hostkidoutcome_txt","nreleased","addnotes","scite1","scite2","scite3","dbsource","INT_LOG","INT_IDEO","INT_MISC","INT_ANY","related"
"56511",199406160009,1994,6,16,NA,0,NA,35,"Belarus",9,"Eastern Europe",NA,"Minsk",53.9,27.566667,1,0,NA,NA,0,1,1,1,2,"Other Crime Type",0,1,0,2,"Armed Assault",NA,NA,NA,NA,14,"Private Citizens & Property",73,"Vehicles/Transportation","Unknown","Vehicle, Presidential Attack Aleksandr Lukashenko",35,"Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Firearms",3,"Handgun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pistol",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,0,-9,NA
"66500",199709100005,1997,9,10,NA,0,NA,35,"Belarus",9,"Eastern Europe",NA,"Minsk",53.9,27.566667,1,0,NA,NA,1,1,1,0,NA,NA,0,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,2,"Government (General)",14,"Judge/Attorney/Court","Gov't","District court bldg.",35,"Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Belarusian Liberation Army",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Explosive",0,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,0,-9,NA
"66723",199710060007,1997,10,6,NA,0,NA,35,"Belarus",9,"Eastern Europe",NA,"Minsk",53.9,27.566667,1,0,NA,NA,1,1,1,0,NA,NA,0,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,2,"Government (General)",18,"Government Personnel (excluding police, military)","Gov't","Yevhenii Mikolutsky, Part. Deputy",35,"Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Explosive",1,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,0,-9,NA
"68719",199904110003,1999,4,11,NA,0,NA,35,"Belarus",9,"Eastern Europe","Minsk (Capital City)","Minsk",53.9,27.566667,1,0,NA,"04/11/1999: Unknown perpetrators damaged the Judaic Religious Association of Belarus and a synagogue in Minsk when they set fire to the front door and spray-painted anti-Jewish messages on the walls.",1,1,1,1,2,"Other Crime Type",0,1,0,7,"Facility/Infrastructure Attack",NA,NA,NA,NA,15,"Religious Figures/Institutions",87,"Affiliated Institution","Judaic Religious Association of Belarus","The offices of the Judaic Religious Association of Belarus in Minsk",35,"Belarus",15,"Religious Figures/Institutions",86,"Place of Worship","Minsk Synagogue","Minsk synagogue sharing the building with the Judaic Religious Association",35,"Belarus",NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,"Anti-Semitism was cited as the motive the attack.",0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Incendiary",18,"Arson/Fire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",1100,"The front door and paint on the first floor of the building were damaged.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"“Arsonists Attack Synagogue in Minsk,” Belapan, April 12, 1999.","Svetlana Karpekova, “Arson Attack on Minsk Judaic Association's Premises,” Izvestia, April 14, 1999.",NA,"CETIS",-9,-9,0,-9,NA
"72253",200105300008,2001,5,31,NA,0,NA,35,"Belarus",9,"Eastern Europe","Minsk (Capital City)","Minsk",53.9,27.566667,1,0,NA,"05/30/2001: In Minsk, Belarus, two unknown individuals threw a grenade at the Russian Embassy. This attack occurred right before a summit for the Commonwealth of Independent States was to commence. The explosion damaged the wall of the Embassy.",1,1,1,0,NA,NA,0,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,7,"Government (Diplomatic)",46,"Embassy/Consulate","Russian Ministry of Foreign Affairs","Russian Embassy in Minsk, Belarus",167,"Russia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,"Unknown",0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",7,"Grenade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Grenade thrown at Russian embassy on eve of CIS summit,"" Deutsche Presse-Agentur, May 31, 2001.",NA,NA,"CETIS",-9,-9,1,1,NA
"80170",200604030028,2006,4,3,NA,0,NA,35,"Belarus",9,"Eastern Europe","Minsk","Minsk",53.9,27.566667,1,0,NA,"04/03/2006: Human rights activist Mikalay Kalinin, a leader of the Gypsy community in Belarus, was attacked by six unidentified men at the intersection of Kamunistychnaya and Maksim Bahdanovich streets in Minsk, Belarus. The assailants claimed Kalinin had insulted a woman they knew. No group claimed responsibility for the attack.",1,1,1,1,2,"Other Crime Type",0,1,0,8,"Unarmed Assault",NA,NA,NA,NA,14,"Private Citizens & Property",83,"Protester","Unknown","Mikalay Kalinin, human rights activist",35,"Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,"Unknown",0,NA,NA,0,6,0,-9,NA,NA,NA,NA,NA,NA,NA,NA,-9,9,"Melee",22,"Hands, Feet, Fists",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The attackers explained that they were defending the honor of a woman who was allegedly insulted by Kalinin, but Kalinin says he and his father and friend only saw the girl when he was attacked. Kalinin contended that the assault was connected with his human rights work, in particular his involvement in monitoring the presidential election, as he submitted his findings to representatives of the mission of the OSCE ODIHR (Office for Democratic Institutions and Human Rights). --Kalinin complained that he was having difficulty breathing, a sign indicating that he may have had a rib broken.","“Human rights activist attacked in Belarusian capital,” Minsk Belapan in English, April 06, 2006.",NA,NA,"CETIS",-9,-9,0,-9,NA
"87626",200807040004,2008,7,4,NA,0,NA,35,"Belarus",9,"Eastern Europe","Minsk","Minsk",53.9,27.566667,1,0,"The bombing attack took place at the Hero City memorial, a World War II monument, in central Minsk, Minsk state, Belarus.","07/04/2008: On Friday night at 00:30, 50 people were injured when a home-made bomb exploded at the Hero City memorial, a World War II monument, in central Minsk, Minsk state, Belarus, where thousands of people had gathered for the Independence Day concert. Two Belarusian opposition activists were detained by police following the blast. No claim of responsibility was made for the incident.",1,1,1,0,NA,NA,0,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,14,"Private Citizens & Property",78,"Procession/Gathering (funeral, wedding, birthday, religious)",NA,"Civilians attending the Independence Day concert",35,"Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,"The specific motive for the attack is unknown..",0,NA,NA,0,-99,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A home-made bomb containing unknown explosives was used in the bombing attack.",0,0,0,50,0,0,-9,NA,NA,NA,"It is unknown if damage was caused by the incident.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Press TV, ""Dozens Wounded in Belarus Bast,"" July 5, 2008, http://www.presstv.ir/Detail.aspx?id=62595&sectionid=351020606.","Belapan, ""Two Belarusian Opposition Activists Detained Over Independence Day Blast,"" Belapan, July 9, 2008.",NA,"ISVG",-9,-9,0,-9,NA
"97825",201008310004,2010,8,31,NA,0,NA,35,"Belarus",9,"Eastern Europe","Minsk","Minsk",53.9,27.566667,1,0,"The attack took place at the Russian embassy in Minsk.","08/31/2010: On Tuesday, in Minsk, Belarus, an unidentified assailant threw two fire bombs at the Russian embassy, destroying one car while causing no casualties. Friends of Freedom claimed responsibility for the attack and six suspects have been arrested in connection with the attack.",1,1,1,0,NA,NA,0,1,0,7,"Facility/Infrastructure Attack",NA,NA,NA,NA,7,"Government (Diplomatic)",46,"Embassy/Consulate","Russian Embassy","The Russian embassy was targeted in the attack.",167,"Russia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Friends of Freedom",NA,NA,NA,NA,NA,"The specific motive for the attack was to show protest against the destruction of the Khimki forest for the building of a highway.",0,NA,NA,0,1,6,1,7,"Posted to website, blog, etc.",NA,NA,NA,NA,NA,NA,NA,8,"Incendiary",20,"Gasoline or Alcohol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"An unknown incendiary device was used in the attack.",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",NA,"One car was destroyed in the attack.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amie Ferris-Rotman, ""Fire Bombs Thrown at Russian Embassy in Minsk,"" Reuters, August 31, 2010, http://www.alertnet.org/thenews/newsdesk/LDE67U07F.htm.","Jane’s Intelligence, “Security Forces Detain Suspected Militants in Belarus's Minsk,” Terrorism Watch Report, ITAR-TASS, September 7, 2010.","Xinhua News Agency, ""Russian Group Claims Responsiblity for Attack on Russian Embassy in Belarus,"" Xinhua News Agency, September 2, 2010, http://news.xinhuanet.com/english2010/world/2010-09/02/c_13475575.htm.","ISVG",-9,-9,1,1,NA
"97959",201009070012,2010,9,7,NA,0,NA,35,"Belarus",9,"Eastern Europe","Minsk","Minsk",53.9,27.566667,1,0,"The attack occurred at a prison on Okrestin Street in Minsk city, Minsk, Belarus.","09/07/2010: On Tuesday, in Minsk city, Minsk, Belarus, unidentified assailants threw two Molotov cocktails at Minsk Prison on Okrestin Street, damaging the prison but causing no casualties. The Friends of Freedom claimed responsibility.",1,1,1,0,NA,NA,0,1,0,7,"Facility/Infrastructure Attack",NA,NA,NA,NA,3,"Police",26,"Prison/Jail","Minsk Prison","A prison was targeted in the attack.",35,"Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Friends of Freedom",NA,NA,NA,NA,NA,"The specific motive for the attack is unknown.",0,NA,NA,0,-99,0,1,10,"Unknown",NA,NA,NA,NA,NA,NA,NA,8,"Incendiary",18,"Arson/Fire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Two molotov cocktails were used in the attack.",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",NA,"The attack caused minor damage to Minsk Prison.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Russia & CIS Military Newswire, ""Molotov Cocktails Thrown into Minsk Jail with Detained Anarchists,"" LexisNexis Academic, Russia & CIS Military Newswire, September 7, 2010.","National Counterterrorism Center, ""One Prison Damaged in Incendiary Attack by Friends of Freedom in Minsk, Belarus,"" Worldwide Incidents Tracking System, January 28, 2011.","Russia & CIS Military Newswire, ""Embassy Incident in Minsk was Act of 'Disorderly Conduct' - Russian Ambassador,"" LexisNexis Academic, Russia & CIS Military Newswire, September 7, 2010.","ISVG",-9,-9,0,-9,NA
"100952",201104110001,2011,4,11,NA,0,NA,35,"Belarus",9,"Eastern Europe","Minsk","Minsk",53.9,27.566667,1,0,"The attack occurred at the underground Oktyabrsakaya metro station in Minsk, Belarus.","04/11/2011: On Monday afternoon at 1500, 13 people were killed and 161 were wounded when a radio-controlled bomb exploded at a metro station in Minsk, Belarus. The bomb was the equivalent of between five and seven kilograms of TNT and was filled with shrapnel and metal balls that measured about one centimeter in diameter. It was hidden underneath a bench on the platform of the Oktyabrsakaya metro station. The bombing left a crater in the platform with a diameter of 80 centimeters. No group claimed responsibility for the explosion. Viktor Dvorakovskiy, a 23-year-old man on the Russian most wanted terrorist list, is suspected of being involved in the bombing. Interpol announce on 05/13/2011, that the finger prints found at the scene of the 2011 subway bombing match those of the suspect from the 2008 Minsk bombing as well.",1,1,1,0,NA,NA,0,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,19,"Transportation",102,"Subway",NA,"An underground metro station was targeted in the attack.",35,"Belarus",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified",NA,"Civilians were targeted in the attack.",35,"Belarus",NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,"The specific motive for the attack is unknown.",0,NA,NA,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",17,"Other Explosive Type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A bomb the equivalent of between five and seven kilograms of TNT and filled with shrapnel and metal balls was used in the attack.",13,0,0,161,0,0,1,3,"Minor (likely < $1 million)",NA,"The bombing left a crater in the platform with a diameter of 80 centimeters.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Interfax, ""Belarusian KGB Insists Minsk Subway Bomb Was Radio-Controlled (Part Two),"" World News Connection, Interfax, April 12, 2011.","Xinhua News Agency, ""Death Toll from Metro Bombing in Minsk Rises to 13,"" Xinhua News Agency, April 16, 2011, http://news.xinhuanet.com/english2010/world/2011-04/16/c_13831272.htm.","Ekho Moskvy Radio, ""Alleged Russian Wahhabi Suspected of Terrorist Attack in Minsk,"" World News Connection, Ekho Moskvy Radio, April 18, 2011.","ISVG",-9,-9,0,-9,NA
