"","eventid","iyear","imonth","iday","approxdate","extended","resolution","country","country_txt","region","region_txt","provstate","city","latitude","longitude","specificity","vicinity","location","summary","crit1","crit2","crit3","doubtterr","alternative","alternative_txt","multiple","success","suicide","attacktype1","attacktype1_txt","attacktype2","attacktype2_txt","attacktype3","attacktype3_txt","targtype1","targtype1_txt","targsubtype1","targsubtype1_txt","corp1","target1","natlty1","natlty1_txt","targtype2","targtype2_txt","targsubtype2","targsubtype2_txt","corp2","target2","natlty2","natlty2_txt","targtype3","targtype3_txt","targsubtype3","targsubtype3_txt","corp3","target3","natlty3","natlty3_txt","gname","gsubname","gname2","gsubname2","gname3","gsubname3","motive","guncertain1","guncertain2","guncertain3","individual","nperps","nperpcap","claimed","claimmode","claimmode_txt","claim2","claimmode2","claimmode2_txt","claim3","claimmode3","claimmode3_txt","compclaim","weaptype1","weaptype1_txt","weapsubtype1","weapsubtype1_txt","weaptype2","weaptype2_txt","weapsubtype2","weapsubtype2_txt","weaptype3","weaptype3_txt","weapsubtype3","weapsubtype3_txt","weaptype4","weaptype4_txt","weapsubtype4","weapsubtype4_txt","weapdetail","nkill","nkillus","nkillter","nwound","nwoundus","nwoundte","property","propextent","propextent_txt","propvalue","propcomment","ishostkid","nhostkid","nhostkidus","nhours","ndays","divert","kidhijcountry","ransom","ransomamt","ransomamtus","ransompaid","ransompaidus","ransomnote","hostkidoutcome","hostkidoutcome_txt","nreleased","addnotes","scite1","scite2","scite3","dbsource","INT_LOG","INT_IDEO","INT_MISC","INT_ANY","related"
"49935",199202000001,1992,2,0,NA,0,NA,103,"Kazakhstan",7,"Central Asia",NA,"Shymkent",42.316667,69.595833,1,0,NA,NA,1,1,1,-9,NA,NA,0,0,0,4,"Hijacking",NA,NA,NA,NA,6,"Airports & Aircraft",42,"Aircraft (not at an airport)",NA,"aircraft",103,"Kazakhstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,0,NA,NA,0,NA,NA,NA,NA,1,-99,0,NA,NA,NA,"Kazakhstan",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,0,-9,NA
"52832",199209080006,1992,9,8,NA,0,NA,103,"Kazakhstan",7,"Central Asia",NA,"Almaty",43.254697,76.912617,1,0,NA,NA,1,1,1,-9,NA,NA,0,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,14,"Private Citizens & Property",73,"Vehicles/Transportation",NA,"Apartment Building",103,"Kazakhstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Explosive",0,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,0,-9,NA
"53426",199210180003,1992,10,18,NA,0,NA,103,"Kazakhstan",7,"Central Asia",NA,"Oskemen",49.983333,82.616667,1,0,NA,NA,1,1,1,-9,NA,NA,0,1,0,9,"Unknown",NA,NA,NA,NA,1,"Business",8,"Hotel/Resort",NA,"Workers hostel",103,"Kazakhstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chechen Rebels",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",1,1,0,1,NA
"54211",199212010019,1992,12,1,NA,0,NA,103,"Kazakhstan",7,"Central Asia",NA,"Pavlodar",52.3,76.95,1,0,NA,NA,1,1,1,-9,NA,NA,0,1,0,1,"Assassination",NA,NA,NA,NA,14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified",NA,"2 Kazakh males",103,"Kazakhstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chechen Rebels",NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",1,1,0,1,NA
"54629",199212290013,1992,12,29,NA,0,NA,103,"Kazakhstan",7,"Central Asia",NA,"Temirtau",50.05,72.95,1,0,NA,NA,1,1,1,-9,NA,NA,0,1,0,1,"Assassination",NA,NA,NA,NA,1,"Business",3,"Bank/Commerce","Tekhkombank","Vice Chairman Vladimir Rovensky",167,"Russia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Firearms",3,"Handgun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pistol",1,NA,NA,1,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,1,1,NA
"57540",199410250004,1994,10,25,NA,1,34640,103,"Kazakhstan",7,"Central Asia",NA,"Unknown",NA,NA,5,0,NA,NA,1,1,1,-9,NA,NA,0,1,0,6,"Hostage Taking (Kidnapping)",NA,NA,NA,NA,14,"Private Citizens & Property",77,"Laborer (General)/Occupation Identified",NA,"Cossack Leader",103,"Kazakhstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Kazakhstan",0,NA,NA,NA,NA,NA,3,"Hostage(s) escaped (not during rescue attempt)",NA,NA,NA,NA,NA,"PGIS",-9,-9,0,-9,NA
"64299",199701080002,1997,1,8,NA,0,NA,103,"Kazakhstan",7,"Central Asia",NA,"Almaty",43.254697,76.912617,1,0,NA,NA,1,1,1,0,NA,NA,0,1,0,1,"Assassination",NA,NA,NA,NA,10,"Journalists & Media",53,"Newspaper Journalist/Staff/Facility","INTERNEWS (California Based Non-Profit)","American Journalist",217,"United States",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"Melee",23,"Knife or Other Sharp Object",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Knife",1,1,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,1,1,NA
"67262",199712100001,1997,12,10,NA,0,NA,103,"Kazakhstan",7,"Central Asia",NA,"Almaty",43.254697,76.912617,1,0,NA,NA,1,1,1,0,NA,NA,0,1,0,1,"Assassination",NA,NA,NA,NA,2,"Government (General)",18,"Government Personnel (excluding police, military)","Govt","2nd Secy. Ahmed Ouda al-Sawi",173,"Saudi Arabia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"Melee",23,"Knife or Other Sharp Object",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Knife",1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,1,1,NA
"71004",200009240004,2000,9,24,NA,0,NA,103,"Kazakhstan",7,"Central Asia","Almaty (Municipal District)","Almaty",43.254697,76.912617,1,0,NA,"09/24/2000: Two police officers were shot dead with a Kalashnikov assault rifle in Almaty, Kazakhstan. The Uighur Liberation Organization is suspected.",1,1,1,0,NA,NA,0,1,0,2,"Armed Assault",NA,NA,NA,NA,3,"Police",25,"Police Security Forces/Officers","Kazakhstan Police","Almaty Police Officers",103,"Kazakhstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uighur Liberation Organization",NA,NA,NA,NA,NA,"Unknown",1,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Firearms",5,"Unknown Gun Type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"“Kazakh police suspect Uighur ""separatists"" of murdering two policemen,” BBC Monitoring Central Asia Unit, September 26, 2000.",NA,NA,"CETIS",0,0,0,0,NA
"71835",200102180004,2001,2,18,NA,0,NA,103,"Kazakhstan",7,"Central Asia","Akmola","Kokshetau",53.283333,69.383333,1,0,"A baggage-locker area in a railway terminal in Kokshetau","2/18/2001: A bomb exploded in a baggage locker area in a railway terminal in Kokshetau, Akmola, Kazakhstan.  A police officer that was inspecting the area was wounded in the explosion.  No group has claimed responsibility for the attack and the motive is unknown.",1,1,1,0,NA,NA,0,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,19,"Transportation",100,"Train/Train Tracks/Trolley","A railway terminal","A railway terminal in Kokshetau",103,"Kazakhstan",3,"Police",25,"Police Security Forces/Officers","Kazakhstan police","A police officer inspecting the baggage area",103,"Kazakhstan",NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,"Unknown",0,NA,NA,0,-99,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,-9,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Policeman injured in Kazakh rail station blast,"" Interfax News Agency, February 18, 2001.",NA,NA,"UMD Schmid 2012",-9,-9,0,-9,NA
