"","eventid","iyear","imonth","iday","approxdate","extended","resolution","country","country_txt","region","region_txt","provstate","city","latitude","longitude","specificity","vicinity","location","summary","crit1","crit2","crit3","doubtterr","alternative","alternative_txt","multiple","success","suicide","attacktype1","attacktype1_txt","attacktype2","attacktype2_txt","attacktype3","attacktype3_txt","targtype1","targtype1_txt","targsubtype1","targsubtype1_txt","corp1","target1","natlty1","natlty1_txt","targtype2","targtype2_txt","targsubtype2","targsubtype2_txt","corp2","target2","natlty2","natlty2_txt","targtype3","targtype3_txt","targsubtype3","targsubtype3_txt","corp3","target3","natlty3","natlty3_txt","gname","gsubname","gname2","gsubname2","gname3","gsubname3","motive","guncertain1","guncertain2","guncertain3","individual","nperps","nperpcap","claimed","claimmode","claimmode_txt","claim2","claimmode2","claimmode2_txt","claim3","claimmode3","claimmode3_txt","compclaim","weaptype1","weaptype1_txt","weapsubtype1","weapsubtype1_txt","weaptype2","weaptype2_txt","weapsubtype2","weapsubtype2_txt","weaptype3","weaptype3_txt","weapsubtype3","weapsubtype3_txt","weaptype4","weaptype4_txt","weapsubtype4","weapsubtype4_txt","weapdetail","nkill","nkillus","nkillter","nwound","nwoundus","nwoundte","property","propextent","propextent_txt","propvalue","propcomment","ishostkid","nhostkid","nhostkidus","nhours","ndays","divert","kidhijcountry","ransom","ransomamt","ransomamtus","ransompaid","ransompaidus","ransomnote","hostkidoutcome","hostkidoutcome_txt","nreleased","addnotes","scite1","scite2","scite3","dbsource","INT_LOG","INT_IDEO","INT_MISC","INT_ANY","related"
"62113",199604200001,1996,4,20,NA,0,NA,107,"Kyrgyzstan",7,"Central Asia",NA,"Bishkek",42.870022,74.587883,1,0,NA,NA,1,1,1,0,NA,NA,0,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,2,"Government (General)",21,"Government Building/Facility/Office",NA,"Govt Bldgs",107,"Kyrgyzstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Explosive",0,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,0,-9,NA
"62781",199607190001,1996,7,19,NA,0,NA,107,"Kyrgyzstan",7,"Central Asia",NA,"Bishkek",42.870022,74.587883,1,0,NA,NA,1,1,1,0,NA,NA,1,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,3,"Police",22,"Police Building (headquarters, station, school)",NA,"Law enforcement offices",107,"Kyrgyzstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Explosive",0,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,0,-9,"199607190001, 199607190002, 199607190003, 199607190004"
"62782",199607190002,1996,7,19,NA,0,NA,107,"Kyrgyzstan",7,"Central Asia",NA,"Bishkek",42.870022,74.587883,1,0,NA,NA,1,1,1,0,NA,NA,1,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,3,"Police",22,"Police Building (headquarters, station, school)",NA,"Law enforcement offices",107,"Kyrgyzstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Explosive",0,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,0,-9,"199607190002, 199607190001, 199607190003, 199607190004"
"62783",199607190003,1996,7,19,NA,0,NA,107,"Kyrgyzstan",7,"Central Asia",NA,"Bishkek",42.870022,74.587883,1,0,NA,NA,1,1,1,0,NA,NA,1,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,3,"Police",22,"Police Building (headquarters, station, school)",NA,"Law enforcement offices",107,"Kyrgyzstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Explosive",0,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,0,-9,"199607190003, 199607190001, 199607190002, 199607190004"
"62784",199607190004,1996,7,19,NA,0,NA,107,"Kyrgyzstan",7,"Central Asia",NA,"Bishkek",42.870022,74.587883,1,0,NA,NA,1,1,1,0,NA,NA,1,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,3,"Police",22,"Police Building (headquarters, station, school)",NA,"Law enforcement offices",107,"Kyrgyzstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Explosive",0,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,0,-9,"199607190004, 199607190001, 199607190002, 199607190003"
"69296",199908230004,1999,8,23,NA,1,36458,107,"Kyrgyzstan",7,"Central Asia","Batken (Oblast)","Khodzha-Achkan",39.632764,70.973749,1,0,NA,"08/23/1999: Four Japanese geologists, their interpreter and two Kyrgyz military men were taken hostage by unidentified Islamic militants in Khodzha-Achkan, Kyrgyzstan. They were working for Japan's Mineral Mining Agency. The hostages were released on October 25, 1999. A Kyrgyz security official said the hostages had been exchanged for a few tons of flour and a sum of money. The ransom they demanded was $5 million, but reports did not specify whether officials paid this sum.",1,1,1,0,NA,NA,0,1,0,6,"Hostage Taking (Kidnapping)",NA,NA,NA,NA,1,"Business",10,"Mining","Japan's Mineral Mining Agency","Four Japanese employees of Japan's Mineral Mining Agency",101,"Japan",4,"Military",34,"Military Personnel (soldiers, troops, officers, forces)","Kyrgyzstan","Two Kyrgyz military men",107,"Kyrgyzstan",NA,NA,NA,NA,NA,NA,NA,NA,"Muslim extremists",NA,NA,NA,NA,NA,"For ransom.",1,NA,NA,0,30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Firearms",5,"Unknown Gun Type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-9,NA,NA,NA,NA,1,7,0,NA,64,NA,NA,1,5e+06,0,-99,0,NA,2,"Hostage(s) released by perpetrators",7,NA,"“Four Japanese geologists taken hostage in southern Kyrgyzstan,” Agence France Presse, August 23, 1999.","“7 hostages safe but whereabouts unknown: state TV,” Japan Economic Newswire, August 28, 1999.","Michael Rothbart, “Kyrgyzstan aircraft attack militants holding hostages,” Associated Press Worldstream, August 30, 1999.","CETIS",-9,-9,1,1,NA
"69352",199909160004,1999,9,16,NA,1,36420,107,"Kyrgyzstan",7,"Central Asia","Unknown","Sai",NA,NA,5,0,"This incident occurred near the Uzbek border.","09/16/1999: Unidentified Islamic militants took ten hostages near the village of Sai, close to the Uzbek border in Kyrgyzstan. It was suspected that the assailants intended to use the hostages as shields in an advance to Uzbekistan. Kyrgyz troops chased the perpetrators, who released six villagers during their retreat. The gunmen were believed to be holding thirteen hostages, kidnapped on earlier occasion(s). The perpetrators demanded safe passage to Uzbekistan and the release of some 50,000 Islamic prisoners in exchange for the hostages. The fate of the hostages was not disclosed in reports.",1,1,1,0,NA,NA,0,1,0,6,"Hostage Taking (Kidnapping)",2,"Armed Assault",NA,NA,14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Civilians","Civilians near the Uzbekistan border",107,"Kyrgyzstan",4,"Military",34,"Military Personnel (soldiers, troops, officers, forces)","Kyrgyzstan Military","Kyrgyz troops",107,"Kyrgyzstan",NA,NA,NA,NA,NA,NA,NA,NA,"Muslim extremists",NA,NA,NA,NA,NA,"The perpetrators demanded safe passage to Uzbekistan and the release of some 50,000 Moslem prisoners in exchange for the hostages.",1,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Firearms",2,"Automatic Weapon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,5,0,0,1,4,"Unknown",NA,NA,1,10,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,6,"Combination",6,"The fate of the four remaining hostages from this incident and the thirteen already held by the perpetrators was unknown.","""Islamic Extremists Take More Hostages; Kyrgyz Soldiers Wounded in Clashes,"" Agence France Presse, September 18, 1999.",NA,NA,"CETIS",-9,-9,0,-9,NA
"69366",199909200001,1999,9,20,NA,0,NA,107,"Kyrgyzstan",7,"Central Asia","Batken","Batken (District)",39.759819,70.907124,3,0,NA,"09/20/1999: An army officer was killed and two others were wounded by a landmine that exploded in an unspecified location in Batkenskiy District, Kyrgyzstan. It was suspected that Kyrgyz rebels planted the device.",1,1,1,0,NA,NA,0,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,4,"Military",34,"Military Personnel (soldiers, troops, officers, forces)","Kyrgyzstan Military","Kyrgyz soldiers in in Batkenskiy District, Kyrgyzstan",107,"Kyrgyzstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,"Unknown",1,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",8,"Land Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,2,0,0,1,3,"Minor (likely < $1 million)",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Kyrgyz APC Hits Rebel Landmine; One Dead, Two Injured,"" ITAR-TASS, September 20, 1999.",NA,NA,"CETIS",-9,-9,0,-9,NA
"70352",200005250002,2000,5,25,NA,0,NA,107,"Kyrgyzstan",7,"Central Asia","Bishkek (Capital City)","Bishkek",42.870022,74.587883,1,0,NA,"05/25/2000: A Chinese delegation member was killed and two others injured when their car came under automatic weapon fire from unknown attackers in Bishkek, Kyrgyzstan. The Chinese delegation was helping to investigate an arson incident that occurred earlier in the May 2000.",1,1,1,0,NA,NA,0,1,0,2,"Armed Assault",NA,NA,NA,NA,7,"Government (Diplomatic)",45,"Diplomatic Personnel (outside of embassy, consulate)","Xingjian Uygur Autonomous District of China Delegation","A Member of an Official Delegation from the Xingjian Uygur Autonomous District of China",44,"China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,"Unknown",0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Firearms",2,"Automatic Weapon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reports of the incidents described automatic firearms being used in the attacks.",1,0,0,2,0,0,1,3,"Minor (likely < $1 million)",NA,"A Mazda was damaged in the incident.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In addition to the two Chinese delegates who were killed and injured, respectively, their Kyrgyz driver was also injured.","""Chinese Delegation Member Killed in Bishkek,” Interfax, May 26, 2000.","""Kyrgyz Gunmen Fire on Chinese Delegation,” The San Diego Union-Tribune, May 27, 2000.","""Gunmen Kill One, Wound Two From Chinese Delegation in Kyrgyzstan,” Associated Press Worldstream, May 26, 2000.","CETIS",-9,-9,1,1,NA
"70746",200008120003,2000,8,12,NA,1,36756,107,"Kyrgyzstan",7,"Central Asia","Unknown","Karasu Valley",39.634779,70.269866,1,0,NA,"08/12/2000: Islamic Movement of Uzbekistan (IMU) rebels took four U.S. mountain climbers and a Kyrgyzstan soldier hostage in the Kara-Su Valley in Kyrgyzstan. The solider was killed and the other four hostages escaped on August 18, 2000.",1,1,1,1,2,"Other Crime Type",0,1,0,6,"Hostage Taking (Kidnapping)",NA,NA,NA,NA,18,"Tourists",97,"Tourist","Tourists","American Mountain Climbers",217,"United States",4,"Military",34,"Military Personnel (soldiers, troops, officers, forces)","Kyrgyzstan Military","Kyrgyzstan soldier",107,"Kyrgyzstan",NA,NA,NA,NA,NA,NA,NA,NA,"Islamic Movement of Uzbekistan (IMU)",NA,NA,NA,NA,NA,"Unknown",0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,1,5,4,NA,6,NA,NA,0,NA,NA,NA,NA,NA,3,"Hostage(s) escaped (not during rescue attempt)",4,NA,"Edward F. Mickolus, Terrorism, 1996-2001 : A Chronology, Imprint Westport, CT: Greenwood Press, 2002.",NA,NA,"CETIS",1,1,1,1,NA
"70747",200008120004,2000,8,12,NA,1,NA,107,"Kyrgyzstan",7,"Central Asia","Unknown","Karasu Valley",39.634779,70.269866,1,0,NA,"08/12/2000: Islamic Movement of Uzbekistan (IMU) rebels kidnapped six German, three Russian, one Ukrainian and two Uzbek mountaineers in Kara-Su Valley, Kyrgyzstan. The victims were eventually released, although the specific date was not known.",1,1,1,1,2,"Other Crime Type",0,1,0,6,"Hostage Taking (Kidnapping)",NA,NA,NA,NA,18,"Tourists",97,"Tourist","Civilians","A group of mountaineers",999,"Multinational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Islamic Movement of Uzbekistan (IMU)",NA,NA,NA,NA,NA,"Unknown",0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,1,12,0,NA,-99,NA,NA,0,NA,NA,NA,NA,NA,2,"Hostage(s) released by perpetrators",12,NA,"Edward F. Mickolus, Terrorism, 1996-2001 : A Chronology, Imprint Westport, CT: Greenwood Press, 2002.",NA,NA,"CETIS",1,1,1,1,NA
"71032",200009270008,2000,9,27,NA,0,NA,107,"Kyrgyzstan",7,"Central Asia","Batken","Kurbak Pass",39.759819,70.907124,2,0,NA,"09/27/2000: One Kyrgyz soldier was wounded when a group of eight men tried to push their way deeper into Kyrgyz territory along the Kurbak mountain pass border region. The assailants suffered minor injuries in the attack.",1,1,1,1,1,"Insurgency/Guerilla Action",0,1,0,9,"Unknown",NA,NA,NA,NA,4,"Military",27,"Military Barracks/Base/Headquarters/Checkpost","Kyrgyz army post","soldiers",107,"Kyrgyzstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,"Unknown",0,NA,NA,0,8,NA,-9,NA,NA,NA,NA,NA,NA,NA,NA,-9,13,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,1,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"“One Kyrgyz Soldier Wounded in Clash With Terrorists,” Moscow ITAR-TASS, September 27, 2000.","“Kyrgyz troops win another clash with militants - Kazakh agency,” Almaty Interfax-Kazakhstan, September 27, 2000.",NA,"CETIS",-9,-9,0,-9,NA
