"","eventid","iyear","imonth","iday","approxdate","extended","resolution","country","country_txt","region","region_txt","provstate","city","latitude","longitude","specificity","vicinity","location","summary","crit1","crit2","crit3","doubtterr","alternative","alternative_txt","multiple","success","suicide","attacktype1","attacktype1_txt","attacktype2","attacktype2_txt","attacktype3","attacktype3_txt","targtype1","targtype1_txt","targsubtype1","targsubtype1_txt","corp1","target1","natlty1","natlty1_txt","targtype2","targtype2_txt","targsubtype2","targsubtype2_txt","corp2","target2","natlty2","natlty2_txt","targtype3","targtype3_txt","targsubtype3","targsubtype3_txt","corp3","target3","natlty3","natlty3_txt","gname","gsubname","gname2","gsubname2","gname3","gsubname3","motive","guncertain1","guncertain2","guncertain3","individual","nperps","nperpcap","claimed","claimmode","claimmode_txt","claim2","claimmode2","claimmode2_txt","claim3","claimmode3","claimmode3_txt","compclaim","weaptype1","weaptype1_txt","weapsubtype1","weapsubtype1_txt","weaptype2","weaptype2_txt","weapsubtype2","weapsubtype2_txt","weaptype3","weaptype3_txt","weapsubtype3","weapsubtype3_txt","weaptype4","weaptype4_txt","weapsubtype4","weapsubtype4_txt","weapdetail","nkill","nkillus","nkillter","nwound","nwoundus","nwoundte","property","propextent","propextent_txt","propvalue","propcomment","ishostkid","nhostkid","nhostkidus","nhours","ndays","divert","kidhijcountry","ransom","ransomamt","ransomamtus","ransompaid","ransompaidus","ransomnote","hostkidoutcome","hostkidoutcome_txt","nreleased","addnotes","scite1","scite2","scite3","dbsource","INT_LOG","INT_IDEO","INT_MISC","INT_ANY","related"
"51188",199205040008,1992,5,4,NA,0,NA,202,"Tajikistan",7,"Central Asia",NA,"Dushanbe",38.536667,68.78,1,0,NA,NA,1,1,1,0,NA,NA,0,0,0,9,"Unknown",NA,NA,NA,NA,2,"Government (General)",17,"Head of State",NA,"Presidential residence",202,"Tajikistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,0,-9,NA
"51323",199205100017,1992,5,10,NA,0,NA,202,"Tajikistan",7,"Central Asia",NA,"Dushanbe",38.536667,68.78,1,0,NA,NA,1,1,1,-9,NA,NA,0,1,0,9,"Unknown",NA,NA,NA,NA,3,"Police",22,"Police Building (headquarters, station, school)","Police","KGB Building",202,"Tajikistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armed People",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,0,0,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,0,-9,NA
"52613",199208240004,1992,8,24,NA,0,NA,202,"Tajikistan",7,"Central Asia",NA,"Dushanbe",38.536667,68.78,1,0,NA,NA,1,1,1,0,NA,NA,0,1,0,1,"Assassination",NA,NA,NA,NA,2,"Government (General)",15,"Politician or Political Party Movement/Meeting/Rally","govt","Procurator General Nurullo Khuvaidullayev",202,"Tajikistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Firearms",3,"Handgun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pistol",2,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,0,-9,NA
"52694",199208310008,1992,8,31,NA,0,NA,202,"Tajikistan",7,"Central Asia",NA,"Dushanbe",38.536667,68.78,1,0,NA,NA,1,1,1,-9,NA,NA,0,1,0,9,"Unknown",NA,NA,NA,NA,2,"Government (General)",17,"Head of State","Govt","Presidential palace *",202,"Tajikistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Protesters",NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,0,-9,NA
"53458",199210200010,1992,10,20,NA,0,NA,202,"Tajikistan",7,"Central Asia",NA,"Khorog",37.486729,71.549843,1,0,NA,NA,1,1,1,-9,NA,NA,0,1,0,4,"Hijacking",NA,NA,NA,NA,6,"Airports & Aircraft",42,"Aircraft (not at an airport)",NA,"Helicopter",202,"Tajikistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Firearms",3,"Handgun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pistol",0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,1,-99,0,NA,NA,"Afghanistan","Afghanistan",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,0,-9,NA
"53599",199210280009,1992,10,28,NA,0,NA,202,"Tajikistan",7,"Central Asia",NA,"Kalininabad",37.865784,68.91458,1,0,NA,NA,1,1,1,0,NA,NA,0,1,0,1,"Assassination",NA,NA,NA,NA,2,"Government (General)",18,"Government Personnel (excluding police, military)","Govt.","Dzhabkhon Rizoyev, Chairman People's Deputies Council, Kulyab Province",202,"Tajikistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Firearms",2,"Automatic Weapon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Automatic firearm",1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,0,-9,NA
"53634",199210300016,1992,10,30,NA,0,NA,202,"Tajikistan",7,"Central Asia",NA,"Dushanbe",38.536667,68.78,1,0,NA,NA,1,1,1,-9,NA,NA,0,1,0,6,"Hostage Taking (Kidnapping)",NA,NA,NA,NA,2,"Government (General)",18,"Government Personnel (excluding police, military)","Govt","Kadruddin Aslanov, Chairman of the Executive Committee, Kurgan-Tyube Region",202,"Tajikistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,1,1,0,NA,NA,NA,"Tajikistan",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,0,-9,NA
"53715",199211040014,1992,11,4,NA,0,NA,202,"Tajikistan",7,"Central Asia",NA,"Hisor",38.525556,68.547222,3,1,NA,NA,1,1,1,0,NA,NA,1,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,19,"Transportation",100,"Train/Train Tracks/Trolley","Railway","Line into Dushanbe",202,"Tajikistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Explosive",0,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,0,-9,"199211040014, 199211040015"
"53716",199211040015,1992,11,4,NA,0,NA,202,"Tajikistan",7,"Central Asia",NA,"Hisor",38.525556,68.547222,3,1,NA,NA,1,1,1,0,NA,NA,1,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,19,"Transportation",100,"Train/Train Tracks/Trolley","Railway","Line into Dushanbe",202,"Tajikistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Explosive",0,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,0,-9,"199211040015, 199211040014"
"53771",199211070007,1992,11,7,NA,0,NA,202,"Tajikistan",7,"Central Asia","Khatlon","Tajik / Afghan Border",28.291564,-16.62913,4,0,NA,NA,1,1,1,0,NA,NA,0,1,0,2,"Armed Assault",NA,NA,NA,NA,3,"Police",25,"Police Security Forces/Officers","Border guards","Unit",202,"Tajikistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Firearms",2,"Automatic Weapon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Automatic firearm",3,NA,NA,4,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,0,-9,NA
