"","eventid","iyear","imonth","iday","approxdate","extended","resolution","country","country_txt","region","region_txt","provstate","city","latitude","longitude","specificity","vicinity","location","summary","crit1","crit2","crit3","doubtterr","alternative","alternative_txt","multiple","success","suicide","attacktype1","attacktype1_txt","attacktype2","attacktype2_txt","attacktype3","attacktype3_txt","targtype1","targtype1_txt","targsubtype1","targsubtype1_txt","corp1","target1","natlty1","natlty1_txt","targtype2","targtype2_txt","targsubtype2","targsubtype2_txt","corp2","target2","natlty2","natlty2_txt","targtype3","targtype3_txt","targsubtype3","targsubtype3_txt","corp3","target3","natlty3","natlty3_txt","gname","gsubname","gname2","gsubname2","gname3","gsubname3","motive","guncertain1","guncertain2","guncertain3","individual","nperps","nperpcap","claimed","claimmode","claimmode_txt","claim2","claimmode2","claimmode2_txt","claim3","claimmode3","claimmode3_txt","compclaim","weaptype1","weaptype1_txt","weapsubtype1","weapsubtype1_txt","weaptype2","weaptype2_txt","weapsubtype2","weapsubtype2_txt","weaptype3","weaptype3_txt","weapsubtype3","weapsubtype3_txt","weaptype4","weaptype4_txt","weapsubtype4","weapsubtype4_txt","weapdetail","nkill","nkillus","nkillter","nwound","nwoundus","nwoundte","property","propextent","propextent_txt","propvalue","propcomment","ishostkid","nhostkid","nhostkidus","nhours","ndays","divert","kidhijcountry","ransom","ransomamt","ransomamtus","ransompaid","ransompaidus","ransomnote","hostkidoutcome","hostkidoutcome_txt","nreleased","addnotes","scite1","scite2","scite3","dbsource","INT_LOG","INT_IDEO","INT_MISC","INT_ANY","related"
"51325",199205100019,1992,5,10,NA,0,NA,219,"Uzbekistan",7,"Central Asia",NA,"Tashkent",41.266667,69.216667,1,0,NA,NA,1,1,1,-9,NA,NA,0,1,0,2,"Armed Assault",NA,NA,NA,NA,7,"Government (Diplomatic)",46,"Embassy/Consulate","U.S. State Dept.","U.S. Embassy *",217,"United States",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Firearms",3,"Handgun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pistol",0,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,1,1,NA
"51905",199206290012,1992,6,29,NA,0,NA,219,"Uzbekistan",7,"Central Asia",NA,"Tashkent",41.266667,69.216667,1,0,NA,NA,1,1,1,-9,NA,NA,0,1,0,1,"Assassination",NA,NA,NA,NA,14,"Private Citizens & Property",84,"Political Party Member/Rally","Birlak Movement  Pro-democracy Movement","Movement Head Abdurahim Pulatov",219,"Uzbekistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,0,-9,NA
"58243",199501210002,1995,1,21,NA,0,NA,219,"Uzbekistan",7,"Central Asia",NA,"Tashkent",41.266667,69.216667,1,0,NA,NA,1,1,1,-9,NA,NA,0,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,14,"Private Citizens & Property",71,"Race/Ethnicity Identified",NA,"Home of American Businessman",217,"United States",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Explosive",0,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PGIS",-9,-9,1,1,NA
"68457",199902160002,1999,2,16,NA,0,NA,219,"Uzbekistan",7,"Central Asia","Tashkent (Capital City)","Tashkent",41.266667,69.216667,1,0,NA,"02/16/1999: At approximately 10:50 am local time, two car bombs exploded 200 meters away from a Government building in Tashkent, Uzbekistan. This attack was the first of six that took place within an hour of each other. At least 128 people were wounded and 13 killed in the combined attacks. There was some official speculation that these incidents were targeting Uzbek President Islam Karimov, whose motorcade was traveling through the city during the attacks. There were no claims of responsibility, but officials searched for 12 people believed to be involved in the bombing.",1,1,1,0,NA,NA,1,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,2,"Government (General)",21,"Government Building/Facility/Office","Uzbekistan Government","Government building in Tashkent",219,"Uzbekistan",2,"Government (General)",17,"Head of State","Uzbekistan Government","Uzbek President Islam Karimov",219,"Uzbekistan",NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,"Unknown",0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",15,"Vehicle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,22,0,0,1,3,"Minor (likely < $1 million)",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This was one of six related attacks (cf. 199902160002-7). It was not clear which casualties resulted from which attack, so the total figures were divided equally across these cases to preserve the statistical accuracy of the database. Two motives were suggested for the bombings: the assassination of President Karimov; an intimidation tactic by religious extremists to show displeasure with current secular policies.","Alexander Koretsky, ""Attempt To Blast Uzbekistan President Undertaken,” Russian Press Digest, February 17, 1999.","""Bomb attacks target Uzbek president, reports of 10 dead,” Agence France Presse, February 16, 1999.","Heather Clark, ""Uzbek capital secure as police search for bombers,” Agence France Presse, February 17, 1999.","CETIS",-9,-9,0,-9,"199902160002, 199902160003, 199902160004, 199902160005, 199902160006, 199902160007"
"68458",199902160003,1999,2,16,NA,0,NA,219,"Uzbekistan",7,"Central Asia","Tashkent (Capital City)","Tashkent",41.266667,69.216667,1,0,NA,"02/16/1999: At approximately 11:05 am local time, a car bomb exploded near a Government building in Tashkent, Uzbekistan. This attack was the second of six that took place within an hour of each other. At least 128 people were wounded and 13 killed in the combined attacks. There was some official speculation that these incidents were targeting Uzbek President Islam Karimov, whose motorcade was traveling through the city during the attacks. There were no claims of responsibility, but officials searched for 12 people believed to be involved in the bombing.",1,1,1,0,NA,NA,1,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,2,"Government (General)",21,"Government Building/Facility/Office","Uzbekistan Government","Government building in Tashkent",219,"Uzbekistan",2,"Government (General)",17,"Head of State","Uzbekistan Government","Uzbek President Islam Karimov",219,"Uzbekistan",NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,"Unknown",0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",15,"Vehicle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,22,0,0,1,3,"Minor (likely < $1 million)",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This was one of six related attacks (cf. 199902160002-7). It was not clear which casualties resulted from which attack, so the total figures were divided equally across these cases to preserve the statistical accuracy of the database. Two motives were suggested for the bombings: the assassination of President Karimov; an intimidation tactic by religious extremists to show displeasure with current secular policies.","Alexander Koretsky, ""Attempt To Blast Uzbekistan President Undertaken,” Russian Press Digest, February 17, 1999.","""Bomb attacks target Uzbek president, reports of 10 dead,” Agence France Presse, February 16, 1999.","Heather Clark, ""Uzbek capital secure as police search for bombers,” Agence France Presse, February 17, 1999.","CETIS",-9,-9,0,-9,"199902160003, 199902160002, 199902160004, 199902160005, 199902160006, 199902160007"
"68459",199902160004,1999,2,16,NA,0,NA,219,"Uzbekistan",7,"Central Asia","Tashkent (Capital City)","Tashkent",41.266667,69.216667,1,0,NA,"02/16/1999: A bomb exploded in front of the National Bank in Tashkent, Uzbekistan. This attack was the third of six that took place within an hour of each other. At least 128 people were wounded and 13 killed in the combined attacks. There was some official speculation that these incidents were targeting Uzbek President Islam Karimov, whose motorcade was traveling through the city during the attacks. There were no claims of responsibility, but officials searched for 12 people believed to be involved in the bombing.",1,1,1,0,NA,NA,1,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,1,"Business",3,"Bank/Commerce","National Bank","National Bank in Tashkent",219,"Uzbekistan",2,"Government (General)",17,"Head of State","Uzbekistan Government","Uzbek President Islam Karimov",219,"Uzbekistan",NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,"Unknown",0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,21,0,0,1,3,"Minor (likely < $1 million)",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This was one of six related attacks (cf. 199902160002-7). It was not clear which casualties resulted from which attack, so the total figures were divided equally across these cases to preserve the statistical accuracy of the database. Two motives were suggested for the bombings: the assassination of President Karimov; an intimidation tactic by religious extremists to show displeasure with current secular policies.","Alexander Koretsky, ""Attempt To Blast Uzbekistan President Undertaken,” Russian Press Digest, February 17, 1999.","""Bomb attacks target Uzbek president, reports of 10 dead,” Agence France Presse, February 16, 1999.","Heather Clark, ""Uzbek capital secure as police search for bombers,” Agence France Presse, February 17, 1999.","CETIS",-9,-9,0,-9,"199902160004, 199902160002, 199902160003, 199902160005, 199902160006, 199902160007"
"68460",199902160005,1999,2,16,NA,0,NA,219,"Uzbekistan",7,"Central Asia","Tashkent (Capital City)","Tashkent",41.266667,69.216667,1,0,NA,"02/16/1999: A car bomb exploded at the local traffic police headquarters in Tashkent, Uzbekistan. This attack was the fourth of six that took place within an hour of each other. At least 128 people were wounded and 13 killed in the combined attacks. There was some official speculation that these incidents were targeting Uzbek President Islam Karimov, whose motorcade was traveling through the city during the attacks. There were no claims of responsibility, but officials searched for 12 people believed to be involved in the bombing.",1,1,1,0,NA,NA,1,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,3,"Police",22,"Police Building (headquarters, station, school)","Uzbekistan Police","Traffic Police headquarters in Tashkent",219,"Uzbekistan",2,"Government (General)",17,"Head of State","Uzbekistan Government","Uzbek President Islam Karimov",219,"Uzbekistan",NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,"Unknown",0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",15,"Vehicle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,21,0,0,1,3,"Minor (likely < $1 million)",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This was one of six related attacks (cf. 199902160002-7). It was not clear which casualties resulted from which attack, so the total figures were divided equally across these cases to preserve the statistical accuracy of the database. Two motives were suggested for the bombings: the assassination of President Karimov; an intimidation tactic by religious extremists to show displeasure with current secular policies.","Alexander Koretsky, ""Attempt To Blast Uzbekistan President Undertaken,” Russian Press Digest, February 17, 1999.","""Bomb attacks target Uzbek president, reports of 10 dead,” Agence France Presse, February 16, 1999.","Heather Clark, ""Uzbek capital secure as police search for bombers,” Agence France Presse, February 17, 1999.","CETIS",-9,-9,0,-9,"199902160005, 199902160002, 199902160003, 199902160004, 199902160006, 199902160007"
"68461",199902160006,1999,2,16,NA,0,NA,219,"Uzbekistan",7,"Central Asia","Tashkent (Capital City)","Tashkent",41.266667,69.216667,1,0,NA,"02/16/1999: A car bombs exploded in downtown Tashkent, Uzbekistan. This attack was the fifth of six that took place within an hour of each other. At least 128 people were wounded and 13 killed in the combined attacks. There was some official speculation that these incidents were targeting Uzbek President Islam Karimov, whose motorcade was traveling through the city during the attacks. There were no claims of responsibility, but officials searched for 12 people believed to be involved in the bombing.",1,1,1,0,NA,NA,1,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Civilians","Civilians in in downtown Tashkent",219,"Uzbekistan",2,"Government (General)",17,"Head of State","Uzbekistan Government","Uzbek President Islam Karimov",219,"Uzbekistan",NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,"Unknown",0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",15,"Vehicle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,21,0,0,1,3,"Minor (likely < $1 million)",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This was one of six related attacks (cf. 199902160002-7). It was not clear which casualties resulted from which attack, so the total figures were divided equally across these cases to preserve the statistical accuracy of the database. Two motives were suggested for the bombings: the assassination of President Karimov; an intimidation tactic by religious extremists to show displeasure with current secular policies.","Alexander Koretsky, ""Attempt To Blast Uzbekistan President Undertaken,” Russian Press Digest, February 17, 1999.","""Bomb attacks target Uzbek president, reports of 10 dead,” Agence France Presse, February 16, 1999.","Heather Clark, ""Uzbek capital secure as police search for bombers,” Agence France Presse, February 17, 1999.","CETIS",-9,-9,0,-9,"199902160006, 199902160002, 199902160003, 199902160004, 199902160005, 199902160007"
"68462",199902160007,1999,2,16,NA,0,NA,219,"Uzbekistan",7,"Central Asia","Tashkent (Capital City)","Tashkent",41.266667,69.216667,1,0,NA,"02/16/1999: A car bomb exploded in downtown Tashkent, Uzbekistan. This attack was the last of six that took place within an hour of each other. At least 128 people were wounded and 13 killed in the combined attacks. There was some official speculation that these incidents were targeting Uzbek President Islam Karimov, whose motorcade was traveling through the city during the attacks. There were no claims of responsibility, but officials searched for 12 people believed to be involved in the bombing.",1,1,1,0,NA,NA,1,1,0,3,"Bombing/Explosion",NA,NA,NA,NA,14,"Private Citizens & Property",75,"Village/City/Town/Suburb","City of Tashkent","City of Tashkent",219,"Uzbekistan",2,"Government (General)",17,"Head of State","Uzbekistan Government","Uzbek President Islam Karimov",219,"Uzbekistan",NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,"Unknown",0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Explosives/Bombs/Dynamite",15,"Vehicle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,21,0,0,1,3,"Minor (likely < $1 million)",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This was one of six related attacks (cf. 199902160002-7). It was not clear which casualties resulted from which attack, so the total figures were divided equally across these cases to preserve the statistical accuracy of the database. Two motives were suggested for the bombings: the assassination of President Karimov; an intimidation tactic by religious extremists to show displeasure with current secular policies.","Alexander Koretsky, ""Attempt To Blast Uzbekistan President Undertaken,” Russian Press Digest, February 17, 1999.","""Bomb attacks target Uzbek president, reports of 10 dead,” Agence France Presse, February 16, 1999.","Heather Clark, ""Uzbek capital secure as police search for bombers,” Agence France Presse, February 17, 1999.","CETIS",-9,-9,0,-9,"199902160007, 199902160002, 199902160003, 199902160004, 199902160005, 199902160006"
"68676",199903310006,1999,3,31,NA,0,NA,219,"Uzbekistan",7,"Central Asia","Tashkent (Capital City)","Tashkent",41.266667,69.216667,1,0,"This incident occurred near Tashkent.","03/31/1999: Three Islamic militants hijacked a passenger bus, carrying 24 people, near Tashkent, Uzbekistan. The perpetrators, who killed three policemen, were eventually killed by police who stormed the bus. The hijackers demanded the release of Islamic extremists jailed for a previous bombing in Tashkent.",1,1,1,0,NA,NA,0,1,0,4,"Hijacking",NA,NA,NA,NA,19,"Transportation",99,"Bus (excluding tourists)","Uzbekistan Busing System","Public bus in Tashkent, Uzbekistan",219,"Uzbekistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,"Unknown",0,NA,NA,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Firearms",2,"Automatic Weapon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,3,0,0,0,0,NA,NA,NA,NA,1,24,0,-99,NA,NA,NA,0,NA,NA,NA,NA,"The perpetrators demanded the release of  Islamic extremists held in Uzbek prisons.",5,"Successful Rescue",24,NA,"“Gunmen hijack bus in Uzbekistan, kill three police officers,” The Associated Press, March 31, 1999.",NA,NA,"CETIS",-9,-9,0,-9,NA
